ISKINDLEUNLIMITED,TOTAL_BOOKS,AVG_RATING,AVG_REVIEWS,AVG_PRICE,BESTSELLER_RATE
false,97287,4.41,828.2,18.51,0.8
true,35815,4.4,1048.0,5.96,4.1
